,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
1849,MoNiSn,0.416,0.386953128,phase_separating,20,Phase Separating
1551,MnRuGa,0.415,0.373154832,Half Heusler (F-43m),18,Half Heusler
1270,CrNiAl,0.409,0.560131609,[Laves(cub)#MgCu2],19,Other non-HH Prototype
75,LiYSn,0.405,0.201622827,[LiYSn],10,Other non-HH Prototype
584,LiBeSb,0.404,0.021366835,LiGaGe (P63mc),12,Common non-HH Prototype
1471,MnPdTe,0.403,0.045346351,Half Heusler (F-43m),29,Half Heusler
1262,LiVSb,0.401,0.356540859,Half Heusler (F-43m),13,Half Heusler
1371,LiVBi,0.394,0.435659928,Half Heusler (F-43m),13,Half Heusler
109,URuSb,0.392,0.093784944,MoNiP (P-62m),16,Common non-HH Prototype
903,YbAgBi,0.39,0.010234375,LiGaGe (P63mc),32,Common non-HH Prototype
913,AgCdSn,0.379,0.007886908,phase_separating,27,Phase Separating
1891,YbPtSb,0.372,0.085996244,Half Heusler (F-43m),31,Half Heusler
76,AgAuSb,0.366,0.026678109,phase_separating,27,Phase Separating
33,LiBeAs,0.366,0.061468492,[Cu2Sb],12,Other non-HH Prototype
402,EuLiBi,0.364,0.144143179,MgSrSi (Pnma),17,Common non-HH Prototype
1362,CaAuSb,0.356,0,LiGaGe (P63mc),24,Common non-HH Prototype
1671,YAuPb,0.355,0,Half Heusler (F-43m),18,Half Heusler
53,LiMgSi,0.351,0.184185606,phase_separating,15,Phase Separating
744,EuLiSb,0.349,0.155796407,MgSrSi (Pnma),17,Common non-HH Prototype
1829,CoGaSb,0.349,0.072105123,phase_separating,17,Phase Separating
1278,ZnSnSb,0.343,0.138233208,phase_separating,21,Phase Separating
1552,FeZnBi,0.341,0.344487093,Half Heusler (F-43m),25,Half Heusler
1074,YbLiSb,0.34,0.132397218,MgSrSi (Pnma),24,Common non-HH Prototype
415,MgAlBi,0.34,0.245575567,phase_separating,16,Phase Separating
1181,LuPtSn,0.332,0.02119156,MoNiP (P-62m),17,Common non-HH Prototype
1677,EuHgPb,0.332,0.022026992,LiGaGe (P63mc),25,Common non-HH Prototype
1023,WCoAl,0.332,0.288366355,[MgZn2],18,Other non-HH Prototype
1659,PtBiSb,0.331,0.096923031,[FeS2],20,Other non-HH Prototype
1158,AgCdSb,0.33,0.045119462,Half Heusler (F-43m),28,Half Heusler
315,LiCuAs,0.323,0.061421023,phase_separating,19,Phase Separating
1841,LiInGe,0.315,0,Half Heusler (F-43m),10,Half Heusler
1734,EuPdSb,0.312,0.142949727,MgSrSi (Pnma),30,Common non-HH Prototype
1147,TiRhGa,0.31,0.26115801,Half Heusler (F-43m),16,Half Heusler
1031,CuAgTe,0.309,0.014607821,[CaF2],28,Other non-HH Prototype
1267,CrPbSb,0.305,0.294836708,phase_separating,15,Phase Separating
1559,HfAuGa,0.305,0.028954383,[ScAuSi],18,Other non-HH Prototype
1113,AgAuBi,0.302,0.036053277,phase_separating,27,Phase Separating
1350,LaPtSb,0.299,0.017567792,[CaIn2],18,Other non-HH Prototype
351,LiCaBi,0.299,0.114981742,MgSrSi (Pnma),16,Common non-HH Prototype
1733,EuPtSb,0.291,0.173254486,MgSrSi (Pnma),24,Common non-HH Prototype
611,MgAlSb,0.29,0.315646458,phase_separating,16,Phase Separating
1272,ScCuPb,0.284,0,LiGaGe (P63mc),18,Common non-HH Prototype
1027,CrFeGa,0.282,0.378211066,phase_separating,17,Phase Separating
907,AgHgSb,0.281,0.134834901,phase_separating,28,Phase Separating
522,AuGaSb,0.281,0.101235956,phase_separating,19,Phase Separating
262,AgAlBi,0.28,0.196090417,phase_separating,19,Phase Separating
1804,LiSrBi,0.277,0.150751253,MgSrSi (Pnma),16,Common non-HH Prototype
1599,LiMgAl,0.275,0.327590513,phase_separating,14,Phase Separating
1114,TiAuAl,0.274,0.0735556,[InNi2#Co1.75Ge],18,Other non-HH Prototype
719,LiCoAs,0.265,0.27635003,[Cu2Sb],17,Other non-HH Prototype
1156,CuZnAs,0.263,0.073382676,[None],28,Other non-HH Prototype
1130,CdHgSn,0.262,0.061896021,phase_separating,28,Phase Separating
1737,MgAgCd,0.261,0.128313151,phase_separating,31,Phase Separating
1044,EuCuBi,0.254,0.007037348,AsHgK (P63/mmc),25,Common non-HH Prototype
499,FeCoAl,0.253,0.448170049,phase_separating,20,Phase Separating
732,ZrCuSn,0.251,0.1019431,MgSrSi (Pnma),19,Common non-HH Prototype
294,AgPbSb,0.247,0.021238426,phase_separating,20,Phase Separating
1702,YbNiSb,0.247,0.107999632,Half Heusler (F-43m),31,Half Heusler
1382,UPtSn,0.247,0.030705715,Half Heusler (F-43m),17,Half Heusler
1515,ThNiGe,0.246,0,[AlB2],18,Other non-HH Prototype
1201,SmAuPb,0.244,0,AsHgK (P63/mmc),23,Common non-HH Prototype
668,TiMnSn,0.244,0.378550341,phase_separating,15,Phase Separating
741,ZrSnTe,0.244,0.572637697,[PrOI],14,Other non-HH Prototype
116,TiCuGa,0.242,0.110926432,[None],18,Other non-HH Prototype
665,TmIrSb,0.242,0.023928122,MgSrSi (Pnma),29,Common non-HH Prototype
1394,HfCuSn,0.242,0.09387483,LiGaGe (P63mc),19,Common non-HH Prototype
1897,CdInSn,0.241,0.051841393,phase_separating,19,Phase Separating
1853,YbHgSn,0.241,0.0239285,LiGaGe (P63mc),32,Common non-HH Prototype
238,AuBiSb,0.24,0.056821016,phase_separating,21,Phase Separating
1660,ZrAuGa,0.233,0.066544655,[ScAuSi],18,Other non-HH Prototype
113,GdCoSb,0.232,0.186462217,phase_separating,17,Phase Separating
1284,HoCuSn,0.232,0,AsHgK (P63/mmc),28,Common non-HH Prototype
1495,ThCoSn,0.227,0.079082084,MoNiP (P-62m),17,Common non-HH Prototype
154,PdPtSn,0.226,0.16674282,phase_separating,30,Phase Separating
156,WAlGe,0.226,0.73227955,phase_separating,13,Phase Separating
296,YbIrSb,0.225,0.200373221,MgSrSi (Pnma),30,Common non-HH Prototype
1781,LiAlSi,0.224,0,Half Heusler (F-43m),10,Half Heusler
1742,DyRhBi,0.222,0,MoNiP (P-62m),26,Common non-HH Prototype
1550,PdTlPb,0.222,0.020351132,[CuAl2],23,Other non-HH Prototype
986,AgAuSn,0.221,0.04036263,phase_separating,26,Phase Separating
1125,TmRhSb,0.221,0.023153147,MgSrSi (Pnma),29,Common non-HH Prototype
1076,PtGaSb,0.22,0.094439161,phase_separating,18,Phase Separating
363,YbAgSb,0.219,0.038028952,MgSrSi (Pnma),32,Common non-HH Prototype
1342,UIrSn,0.217,0.129424187,MoNiP (P-62m),16,Common non-HH Prototype
1424,HoRhBi,0.216,0,MoNiP (P-62m),27,Common non-HH Prototype
466,NbCuGa,0.214,0.356353766,[MgZn2],19,Other non-HH Prototype
4,TiNiGa,0.213,0.168879319,[InMg2],17,Other non-HH Prototype
1629,NaMnBi,0.213,0.38956634,[PbClF],19,Other non-HH Prototype
937,VCoAl,0.213,0.322702295,[MgZn2],17,Other non-HH Prototype
1596,TmCuSn,0.212,0.000142535,AsHgK (P63/mmc),30,Common non-HH Prototype
1496,NpIrSn,0.211,0.185293957,MoNiP (P-62m),16,Common non-HH Prototype
802,MnIrAl,0.21,0.510013032,[CaF2],19,Other non-HH Prototype
347,RbMnBi,0.201,0.628954778,[PbClF],19,Other non-HH Prototype
473,LiCaSb,0.199,0.118749538,MgSrSi (Pnma),16,Common non-HH Prototype
711,NaAlSi,0.199,0.177979212,[PbClF],14,Other non-HH Prototype
1837,CuHgSn,0.197,0.103335825,phase_separating,27,Phase Separating
1004,YbRhSb,0.197,0.169015434,MgSrSi (Pnma),30,Common non-HH Prototype
1884,VNiAl,0.195,0.250564389,phase_separating,18,Phase Separating
1030,ThPtIn,0.194,0.110067437,MoNiP (P-62m),17,Common non-HH Prototype
1193,MgCuPb,0.193,0.064114793,Half Heusler (F-43m),23,Half Heusler
891,DyScSb,0.192,0.358756192,[Cu2Sb],20,Other non-HH Prototype
1122,LuAgPb,0.191,0.016536703,MoNiP (P-62m),18,Common non-HH Prototype
1667,LiMnSi,0.191,0.428527841,phase_separating,14,Phase Separating
390,CaPdBi,0.19,0.037285755,[HoNiGa],29,Other non-HH Prototype
1765,LuAuIn,0.19,0.078956044,MoNiP (P-62m),17,Common non-HH Prototype
1194,TiCoAs,0.189,0,MgSrSi (Pnma),18,Common non-HH Prototype
453,AuInPb,0.188,0.039222217,phase_separating,18,Phase Separating
126,MnIrGe,0.183,0.114861893,MgSrSi (Pnma),20,Common non-HH Prototype
1832,NiAlSi,0.181,0,[CaF2],17,Other non-HH Prototype
1289,CuAlPb,0.18,0.289891401,phase_separating,18,Phase Separating
1162,CaCuBi,0.18,0.031013477,AsHgK (P63/mmc),24,Common non-HH Prototype
819,LiPdIn,0.179,0.164406967,AsHgK (P63/mmc),22,Common non-HH Prototype
1749,RhSbTe,0.177,0.158933733,[FeS2],20,Other non-HH Prototype
887,NaBeB,0.177,1.259998849,[CaF2],14,Other non-HH Prototype
1732,ZrPtGe,0.177,0,MgSrSi (Pnma),18,Common non-HH Prototype
1523,TaFeAs,0.175,0,MgSrSi (Pnma),18,Common non-HH Prototype
1445,UPtIn,0.174,0.164480113,MoNiP (P-62m),16,Common non-HH Prototype
556,IrSbTe,0.174,0.239683687,[NiSbS],20,Other non-HH Prototype
18,LiIrGa,0.172,0.270533878,AsHgK (P63/mmc),15,Common non-HH Prototype
1171,MgAgAs,0.171,0.026906621,Half Heusler (F-43m),24,Half Heusler
1415,NaLiTe,0.171,0.059585862,MgSrSi (Pnma),16,Common non-HH Prototype
757,AgHgSn,0.17,0.074309462,phase_separating,27,Phase Separating
799,TaFeGa,0.17,0.363537836,[MgZn2],16,Other non-HH Prototype
1092,PrLiGe,0.169,0.132119091,MoNiP (P-62m),12,Common non-HH Prototype
1780,GdScSb,0.169,0.333184145,[Cu2Sb],11,Other non-HH Prototype
1783,TiNiGe,0.167,0,MgSrSi (Pnma),18,Common non-HH Prototype
1249,TmPdPb,0.167,0.033082177,MoNiP (P-62m),35,Common non-HH Prototype
1470,NbFeGa,0.166,0.324158331,[MgZn2],16,Other non-HH Prototype
405,URhSn,0.165,0.149615009,MoNiP (P-62m),16,Common non-HH Prototype
667,ThRhSn,0.164,0.147687698,MoNiP (P-62m),17,Common non-HH Prototype
1209,HoCuBi,0.164,0.191312466,[None],29,Other non-HH Prototype
1103,LiPdGa,0.163,0.2066617,AsHgK (P63/mmc),22,Common non-HH Prototype
192,ZrPdGa,0.163,0.198082203,[LaNiAl],23,Other non-HH Prototype
91,FeNiAl,0.162,0.379759379,phase_separating,21,Phase Separating
311,TbRhBi,0.162,0.002361067,MoNiP (P-62m),25,Common non-HH Prototype
1064,TiRhGe,0.161,0.139243769,[TiFeSi],17,Other non-HH Prototype
924,ZrCoAs,0.159,0.01871986,[HoNiGa],18,Other non-HH Prototype
234,YbPdPb,0.159,0.101198887,MoNiP (P-62m),36,Common non-HH Prototype
1117,VCuAl,0.158,0.422098255,phase_separating,19,Phase Separating
914,AgAlAs,0.157,0.367608406,phase_separating,19,Phase Separating
428,AgAlPb,0.157,0.226396455,phase_separating,18,Phase Separating
1669,ZnSnPb,0.157,0.064720462,phase_separating,20,Phase Separating
14,NaMgSb,0.157,0.072049252,[Cu2Sb],20,Other non-HH Prototype
1778,NiCdTe,0.157,0.182593222,phase_separating,28,Phase Separating
286,MgCuGa,0.156,0.093275719,[MgZn2],22,Other non-HH Prototype
1799,TiOsGe,0.155,0.308519802,[TiFeSi],16,Other non-HH Prototype
235,YbLiAs,0.154,0.104364423,MgSrSi (Pnma),24,Common non-HH Prototype
1729,PrScSb,0.153,0.345368975,[La2Sb],13,Other non-HH Prototype
15,SrAuBi,0.153,0.022068373,AsHgK (P63/mmc),24,Common non-HH Prototype
221,NiAlAs,0.153,0.061060898,phase_separating,18,Phase Separating
1140,MnCuIn,0.153,0.251976024,[MgZn2],21,Other non-HH Prototype
612,LiPtGa,0.153,0.15920926,AsHgK (P63/mmc),16,Common non-HH Prototype
1166,TmSbTe,0.153,0.466966337,phase_separating,26,Phase Separating
966,CoPbSb,0.152,0.28301786,phase_separating,18,Phase Separating
162,EuAgBi,0.149,0.033301005,AsHgK (P63/mmc),25,Common non-HH Prototype
1797,BeFeAl,0.148,0.487378795,phase_separating,15,Phase Separating
886,MgCuZn,0.147,0.211407501,[Laves(cub)#MgCu2],31,Other non-HH Prototype
245,DyBiTe,0.147,0.47888881,phase_separating,23,Phase Separating
524,SmScSb,0.146,0.335442162,[None],16,Other non-HH Prototype
121,LiPtIn,0.146,0.109940546,[LiBaSi],16,Other non-HH Prototype
1119,LiIrIn,0.145,0.338717741,[LiBaSi],15,Other non-HH Prototype
968,ZnAlSb,0.145,0.232631674,phase_separating,20,Phase Separating
1486,LuPdSn,0.145,0.048720214,MoNiP (P-62m),23,Common non-HH Prototype
1764,LaAuSn,0.144,0.004026175,LiGaGe (P63mc),18,Common non-HH Prototype
125,YIrSb,0.144,0.083848181,MgSrSi (Pnma),17,Common non-HH Prototype
1374,MgAlSi,0.143,0.165092928,MgSrSi (Pnma),15,Common non-HH Prototype
249,MgCoZn,0.143,0.379434666,[Laves(cub)#MgCu2],29,Other non-HH Prototype
89,YbPtSn,0.142,0.14767968,MoNiP (P-62m),30,Common non-HH Prototype
1404,HfPtGe,0.142,0,MgSrSi (Pnma),18,Common non-HH Prototype
501,MgAgAl,0.142,0.136628101,[MgZn2],22,Other non-HH Prototype
478,LiBaSb,0.141,0.171537367,AsHgK (P63/mmc),16,Common non-HH Prototype
794,NpNiSn,0.141,0.142513915,MgSrSi (Pnma),17,Common non-HH Prototype
338,BaPtSb,0.138,0.419110063,[LiBaSi],23,Other non-HH Prototype
10,MnPdAs,0.138,0.109545064,MoNiP (P-62m),28,Common non-HH Prototype
297,LiCaGe,0.137,0.273685122,MgSrSi (Pnma),15,Common non-HH Prototype
1006,NbCrGa,0.137,0.753028993,[MgZn2],14,Other non-HH Prototype
617,LiCuGe,0.137,0.146154038,[CaF2],18,Other non-HH Prototype
1228,NdLiGe,0.137,0.136078693,MoNiP (P-62m),13,Common non-HH Prototype
359,CdBiSb,0.136,0.175711073,phase_separating,22,Phase Separating
437,GdRhBi,0.136,0.009467058,MoNiP (P-62m),17,Common non-HH Prototype
308,LiCaAs,0.136,0.0889878,MgSrSi (Pnma),16,Common non-HH Prototype
1613,YCuPb,0.136,0,LiGaGe (P63mc),18,Common non-HH Prototype
1263,MnRhAs,0.136,0.104461027,MoNiP (P-62m),21,Common non-HH Prototype
1008,LiSrAs,0.135,0.121421564,MgSrSi (Pnma),16,Common non-HH Prototype
718,MgAlSn,0.135,0.157759905,phase_separating,15,Phase Separating
1698,NiGaTe,0.135,0.18591727,phase_separating,19,Phase Separating
47,YbPdAs,0.134,0.199828624,MoNiP (P-62m),37,Common non-HH Prototype
95,TbLiGe,0.132,0.151239829,MoNiP (P-62m),18,Common non-HH Prototype
409,PtSbTe,0.131,0.270639696,[FeS2],21,Other non-HH Prototype
1160,NbFeAs,0.131,0,MgSrSi (Pnma),18,Common non-HH Prototype
989,NaBaBi,0.131,0.071755542,MoNiP (P-62m),20,Common non-HH Prototype
455,TmPtSn,0.13,0.037638284,MoNiP (P-62m),29,Common non-HH Prototype
320,TmAgPb,0.129,0.022473305,MoNiP (P-62m),30,Common non-HH Prototype
1155,ThPtGa,0.127,0.174254116,MoNiP (P-62m),17,Common non-HH Prototype
1423,TmRhBi,0.127,0,Half Heusler (F-43m),29,Half Heusler
1468,AlGaGe,0.126,0.099342793,phase_separating,10,Phase Separating
815,LiAuAl,0.125,0.169143402,AsHgK (P63/mmc),17,Common non-HH Prototype
97,TiGeSb,0.124,0.496575377,[UP2#UAs2],13,Other non-HH Prototype
1724,LuCuPb,0.124,0,LiGaGe (P63mc),18,Common non-HH Prototype
846,TiRuIr,0.124,0.656016253,phase_separating,21,Phase Separating
1662,UCuSn,0.124,0.195472689,AsHgK (P63/mmc),18,Common non-HH Prototype
542,MnRuAs,0.124,0.158203936,MoNiP (P-62m),20,Common non-HH Prototype
609,YbLiGe,0.123,0.285659329,MoNiP (P-62m),23,Common non-HH Prototype
395,NaAuTe,0.123,0.036282073,AsHgK (P63/mmc),24,Common non-HH Prototype
1859,PrNdSb,0.123,0.20147603,[La2Sb],16,Other non-HH Prototype
1809,LiBaSi,0.122,0.336792507,[LiBaSi],15,Other non-HH Prototype
1507,ErRhSb,0.122,0.035962225,MgSrSi (Pnma),28,Common non-HH Prototype
201,NbGaAs,0.122,0.742092573,phase_separating,13,Phase Separating
1536,PdBiTe,0.122,0.077805451,[NiSbS],27,Other non-HH Prototype
1762,UCoSn,0.122,0.077299867,MoNiP (P-62m),16,Common non-HH Prototype
1276,LiSrSb,0.122,0.156773234,MgSrSi (Pnma),16,Common non-HH Prototype
807,NiSnTe,0.121,0.172129669,phase_separating,20,Phase Separating
383,WNiCu,0.12,0.613845815,phase_separating,27,Phase Separating
122,CuPbSb,0.12,0.071008612,phase_separating,20,Phase Separating
1582,TbCuPb,0.119,0,LiGaGe (P63mc),26,Common non-HH Prototype
1697,MoGaAs,0.119,0.644717189,phase_separating,14,Phase Separating
506,CuSbTe,0.118,0.257476939,phase_separating,22,Phase Separating
1373,EuLiAs,0.118,0.126439925,MgSrSi (Pnma),17,Common non-HH Prototype
1279,CdHgTl,0.118,0.065069327,phase_separating,27,Phase Separating
329,AuCdTe,0.118,0.243039445,phase_separating,29,Phase Separating
805,MgMoNi,0.118,0.53799316,phase_separating,24,Phase Separating
1,TiGaAs,0.117,0.574485181,phase_separating,12,Phase Separating
1628,NiBiTe,0.117,0.163997978,phase_separating,21,Phase Separating
1318,SmPtPb,0.116,0.040672354,MoNiP (P-62m),22,Common non-HH Prototype
1636,YCuSn,0.116,0.00688565,AsHgK (P63/mmc),18,Common non-HH Prototype
663,NbRuAs,0.116,0.017982518,MgSrSi (Pnma),18,Common non-HH Prototype
341,CoBiTe,0.116,0.250838171,[Marcasite#FeS2(oP6)],20,Other non-HH Prototype
1045,SrHgPb,0.116,0.033740023,LiGaGe (P63mc),24,Common non-HH Prototype
274,CaAgSb,0.116,0.059331446,MgSrSi (Pnma),24,Common non-HH Prototype
498,ScAuGe,0.115,0.02913092,LiGaGe (P63mc),18,Common non-HH Prototype
939,BaHgPb,0.115,0.066156207,[KHg2],24,Other non-HH Prototype
1633,MnPdGe,0.115,0.193982436,MoNiP (P-62m),27,Common non-HH Prototype
1680,CaPdSb,0.115,0.105798197,[HoNiGa],29,Other non-HH Prototype
1537,MnGaGe,0.114,0.183520835,[Cu2Sb],14,Other non-HH Prototype
268,ThPdIn,0.113,0.128638347,MoNiP (P-62m),23,Common non-HH Prototype
1877,CuAgIn,0.112,0.126843822,phase_separating,25,Phase Separating
1309,AgHgPb,0.112,0.106083153,phase_separating,27,Phase Separating
809,SmRhBi,0.112,0.022398168,MgSrSi (Pnma),22,Common non-HH Prototype
21,ErCuSn,0.111,0.00149785,AsHgK (P63/mmc),29,Common non-HH Prototype
1717,CeRhBi,0.111,0.053274396,MgSrSi (Pnma),17,Common non-HH Prototype
1012,UPtGa,0.111,0.258205628,MoNiP (P-62m),16,Common non-HH Prototype
562,TmAuIn,0.111,0.087861182,MoNiP (P-62m),29,Common non-HH Prototype
941,ErPtSn,0.111,0.046566518,MoNiP (P-62m),28,Common non-HH Prototype
382,AgCdTe,0.11,0.257856729,phase_separating,29,Phase Separating
244,SrPtSb,0.11,0.24703455,[LiBaSi],23,Other non-HH Prototype
893,ErIrSb,0.109,0.039249736,MgSrSi (Pnma),28,Common non-HH Prototype
398,KPbBi,0.109,0.143150409,[Be5Au],16,Other non-HH Prototype
1274,VCoGe,0.109,0,MgSrSi (Pnma),18,Common non-HH Prototype
680,YbBiTe,0.108,0.619502114,phase_separating,27,Phase Separating
474,UNiAs,0.108,0.50236877,[YPtAs],18,Other non-HH Prototype
688,CaCuSb,0.108,0.059485825,AsHgK (P63/mmc),24,Common non-HH Prototype
1477,NdRhBi,0.107,0.035995016,MgSrSi (Pnma),20,Common non-HH Prototype
1751,VFeAs,0.107,0,MoNiP (P-62m),18,Common non-HH Prototype
177,LiBaAs,0.107,0.156652472,[LiBaSi],16,Other non-HH Prototype
1307,URuSn,0.107,0.216655622,MoNiP (P-62m),15,Common non-HH Prototype
1007,ScCoSn,0.107,0.107052747,MgSrSi (Pnma),16,Common non-HH Prototype
1098,InBiSb,0.106,0.253103832,phase_separating,13,Phase Separating
1466,EuHgSn,0.106,0.050384297,LiGaGe (P63mc),25,Common non-HH Prototype
41,CuSnTe,0.106,0.258845798,phase_separating,21,Phase Separating
827,YbNiSn,0.106,0.166328222,MgSrSi (Pnma),30,Common non-HH Prototype
456,ThNiIn,0.106,0.094527556,MoNiP (P-62m),17,Common non-HH Prototype
1876,PrRhBi,0.105,0.044424398,MgSrSi (Pnma),19,Common non-HH Prototype
1399,TiCuAl,0.105,0.167234473,[MgZn2],18,Other non-HH Prototype
1644,DyIrSb,0.104,0.066757735,MgSrSi (Pnma),26,Common non-HH Prototype
789,NaAlGe,0.104,0.155328768,[PbClF],14,Other non-HH Prototype
224,CoGaAs,0.104,0.104991889,phase_separating,17,Phase Separating
905,YbGaTe,0.104,0.601133071,phase_separating,25,Phase Separating
1623,ZrOsAs,0.103,0.444263226,MoNiP (P-62m),17,Common non-HH Prototype
1255,TmCuPb,0.103,0,LiGaGe (P63mc),30,Common non-HH Prototype
39,AlGaSb,0.103,0.224580892,phase_separating,11,Phase Separating
469,LuRhPb,0.103,0.12853993,[InMg2],16,Other non-HH Prototype
1055,HoIrSb,0.102,0.053047931,MgSrSi (Pnma),27,Common non-HH Prototype
1606,CdTlSb,0.102,0.098771078,MgSrSi (Pnma),20,Common non-HH Prototype
30,MgBeB,0.102,0.478498373,[CaF2],15,Other non-HH Prototype
1408,YbZnSn,0.101,0.05386849,LiGaGe (P63mc),32,Common non-HH Prototype
1277,AgAuTe,0.101,0.07154856,phase_separating,28,Phase Separating
692,YbCdPb,0.101,0.07599908,MoNiP (P-62m),32,Common non-HH Prototype
362,HfOsAs,0.101,0.353787371,MoNiP (P-62m),17,Common non-HH Prototype
1637,SrAgBi,0.101,0.055185797,AsHgK (P63/mmc),24,Common non-HH Prototype
1715,TaRhGe,0.1,0.007897596,MgSrSi (Pnma),18,Common non-HH Prototype
1824,YPdPb,0.1,0.034917924,MoNiP (P-62m),23,Common non-HH Prototype
1704,CaPtSb,0.099,0.111808994,MgSrSi (Pnma),23,Common non-HH Prototype
108,LuNiSn,0.099,0.047271952,MgSrSi (Pnma),17,Common non-HH Prototype
1869,TiNiCu,0.099,0.393808993,[AlCr2#MoSi2],25,Other non-HH Prototype
1080,HfNiGa,0.099,0.197331211,MoNiP (P-62m),17,Common non-HH Prototype
58,TiRuGe,0.099,0.348241283,[TiFeSi],16,Other non-HH Prototype
1065,CdGaSb,0.098,0.154257851,phase_separating,20,Phase Separating
259,YAgPb,0.098,0.035617528,MoNiP (P-62m),18,Common non-HH Prototype
675,RhGaAs,0.097,0.165910209,phase_separating,17,Phase Separating
910,ZrCuIn,0.097,0.135323143,phase_separating,18,Phase Separating
183,ZrRuAs,0.097,0.297576938,MoNiP (P-62m),17,Common non-HH Prototype
763,MgNiCu,0.097,0.36796099,phase_separating,29,Phase Separating
1574,LiYSi,0.096,0.170158017,MoNiP (P-62m),10,Common non-HH Prototype
1174,LaBiTe,0.096,0.579344532,phase_separating,14,Phase Separating
1110,LiRhIn,0.095,0.252673194,AsHgK (P63/mmc),15,Common non-HH Prototype
1224,NbIrGe,0.095,0,MgSrSi (Pnma),18,Common non-HH Prototype
855,PtSnTe,0.094,0.23365986,[CoAsS],20,Other non-HH Prototype
1436,CuAgZn,0.094,0.257574127,phase_separating,34,Phase Separating
333,LiPtAl,0.093,0.212460662,AsHgK (P63/mmc),16,Common non-HH Prototype
890,TiVAl,0.093,0.762005038,phase_separating,12,Phase Separating
34,MnCoAs,0.093,0.069124657,MgSrSi (Pnma),21,Common non-HH Prototype
375,VMnAs,0.093,0.118424612,[Cu2Sb],17,Other non-HH Prototype
1609,ReGaSi,0.093,0.602240908,[None],14,Other non-HH Prototype
701,CuAgAu,0.092,0.209277652,phase_separating,33,Phase Separating
101,FeGeTe,0.092,0.282808308,phase_separating,18,Phase Separating
1472,NdAuPb,0.091583333,0,AsHgK (P63/mmc),21,Common non-HH Prototype
209,AlPbSb,0.091,0.297500304,phase_separating,12,Phase Separating
1607,NiAlGe,0.09,0.031824867,phase_separating,17,Phase Separating
1857,LiIrB,0.09,0.263393164,[LiIrB],15,Other non-HH Prototype
548,CdHgPb,0.09,0.101375788,phase_separating,28,Phase Separating
1380,LiPdAl,0.089,0.257199162,[LiBaSi],22,Other non-HH Prototype
314,BaAuBi,0.089,0.129285765,AsHgK (P63/mmc),24,Common non-HH Prototype
191,CaCuAs,0.087,0.207856192,AsHgK (P63/mmc),24,Common non-HH Prototype
1296,EuAgSb,0.087,0.055641632,AsHgK (P63/mmc),25,Common non-HH Prototype
878,IrPdPt,0.087,0.590600303,phase_separating,35,Phase Separating
933,HfPdAs,0.087,0.324472548,MoNiP (P-62m),25,Common non-HH Prototype
220,NiCuIn,0.086,0.245073271,[InNi2#Co1.75Ge],24,Other non-HH Prototype
906,MgCoNi,0.086,0.495689876,[MgZn2],27,Other non-HH Prototype
93,HfGeTe,0.086,0.647459741,[UP2#UAs2],14,Other non-HH Prototype
309,CrAlSi,0.086,0.446564269,phase_separating,13,Phase Separating
1639,AgAlSn,0.086,0.079946856,phase_separating,18,Phase Separating
566,ZnInPb,0.085,0.0919285,phase_separating,19,Phase Separating
614,YbMgPb,0.085,0.089865558,MoNiP (P-62m),28,Common non-HH Prototype
1819,AuSiSn,0.085,0.287041501,phase_separating,19,Phase Separating
994,UZrNb,0.085,0.762887815,phase_separating,12,Phase Separating
745,TiMnAs,0.085,0.365895089,MoNiP (P-62m),16,Common non-HH Prototype
1578,TiAsTe,0.085,0.45266691,[UTe2],15,Other non-HH Prototype
1585,YbPdTl,0.084,0.092488734,MoNiP (P-62m),35,Common non-HH Prototype
1615,CaPtPb,0.084,0.07950133,MgSrSi (Pnma),22,Common non-HH Prototype
1363,TaCoGe,0.084,0,MgSrSi (Pnma),18,Common non-HH Prototype
606,NaSbTe,0.084,0.45220957,phase_separating,18,Phase Separating
1203,SmLiGe,0.084,0.142100103,MoNiP (P-62m),15,Common non-HH Prototype
1418,TiNiAl,0.084,0.202822301,[MgZn2],17,Other non-HH Prototype
1750,IrBiTe,0.083,0.204543699,[FeS2],20,Other non-HH Prototype
1157,EuZnPb,0.083,0.009950825,[KHg2],25,Other non-HH Prototype
324,ErAuIn,0.083,0.092591341,MoNiP (P-62m),28,Common non-HH Prototype
1909,CuAlSi,0.081,0.069990469,phase_separating,18,Phase Separating
505,CaAgAs,0.081,0.086194637,MoNiP (P-62m),24,Common non-HH Prototype
358,CdGaPb,0.081,0.104440775,phase_separating,19,Phase Separating
1176,TiNbW,0.081,0.673078358,phase_separating,15,Phase Separating
153,HfGeSb,0.081,0.607911072,[UP2#UAs2],13,Other non-HH Prototype
1886,ErGaAs,0.081,0.623499447,phase_separating,22,Phase Separating
1736,NbPtGe,0.081,0.212914492,MgSrSi (Pnma),19,Common non-HH Prototype
1503,SrCaPb,0.081,0.087979948,MgSrSi (Pnma),20,Common non-HH Prototype
1133,TiVW,0.08,0.766053622,phase_separating,15,Phase Separating
838,TiCrMn,0.08,0.599226709,[MgZn2],17,Other non-HH Prototype
468,KSnAs,0.08,0.33444957,[KSnAs],16,Other non-HH Prototype
304,TaZnAl,0.08,0.638337151,[MgZn2],20,Other non-HH Prototype
