,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label
1720,CeCoZn,0,0.264446946,phase_separating,24,Phase Separating
607,HfFeAl,0,0.393720245,[MgZn2],15,Other non-HH Prototype
287,ZrFeSi,0,0.480790613,MgSrSi (Pnma),16,Common non-HH Prototype
283,ErIrSi,0,0.485671266,MgSrSi (Pnma),27,Common non-HH Prototype
1489,CeZnGe,0,0.328133159,[YPtAs],19,Other non-HH Prototype
1484,TbIrSi,0,0.504592912,MgSrSi (Pnma),24,Common non-HH Prototype
279,HoPdAl,0,0.272428125,MgSrSi (Pnma),32,Common non-HH Prototype
635,PrIrGe,0,0.378976005,MgSrSi (Pnma),18,Common non-HH Prototype
640,GdIrGe,0,0.352405896,MgSrSi (Pnma),16,Common non-HH Prototype
643,YPtAl,0,0.299242703,MgSrSi (Pnma),16,Common non-HH Prototype
647,HoRuSi,0,0.527716001,MgSrSi (Pnma),25,Common non-HH Prototype
553,ErRhSi,0,0.426329779,MgSrSi (Pnma),27,Common non-HH Prototype
1544,TbIrGe,0,0.346438842,MgSrSi (Pnma),24,Common non-HH Prototype
534,CeZnSi,0,0.381011068,[AlB2],19,Other non-HH Prototype
454,ZrVFe,0,0.45372369,[MgZn2],17,Other non-HH Prototype
385,PrRhAl,0,0.309873392,MgSrSi (Pnma),17,Common non-HH Prototype
403,BaZnGe,0,0.291226043,AsHgK (P63/mmc),24,Common non-HH Prototype
1638,TbIrAl,0,0.275212796,MgSrSi (Pnma),23,Common non-HH Prototype
376,HoRuGe,0,0.400216934,MgSrSi (Pnma),25,Common non-HH Prototype
1624,HoNiIn,0,0.1571772,MoNiP (P-62m),26,Common non-HH Prototype
1665,SmIrAl,0,0.328195719,MgSrSi (Pnma),20,Common non-HH Prototype
432,YIrSi,0,0.524262255,MgSrSi (Pnma),16,Common non-HH Prototype
369,EuPtZn,0,0.228723138,MgSrSi (Pnma),31,Common non-HH Prototype
436,NdIrGe,0,0.373565877,MgSrSi (Pnma),19,Common non-HH Prototype
440,LuRuGe,0,0.389414111,MgSrSi (Pnma),15,Common non-HH Prototype
1618,ZrCrSi,0,0.635692716,MgSrSi (Pnma),14,Common non-HH Prototype
355,NdPtAl,0,0.310415333,MgSrSi (Pnma),19,Common non-HH Prototype
1602,DyRuSi,0,0.532213477,MgSrSi (Pnma),24,Common non-HH Prototype
336,LaRhIn,0,0.15208569,MoNiP (P-62m),15,Common non-HH Prototype
457,NdRhIn,0,0.161862431,MoNiP (P-62m),18,Common non-HH Prototype
493,ErFeAl,0,0.413621902,[MgZn2],25,Other non-HH Prototype
1587,ErPtSi,0,0.318087405,MgSrSi (Pnma),28,Common non-HH Prototype
